file,question,answer
indonesia.png,Negara mana yang memiliki simbol Garuda Pancasila?,Indonesia
japan.png,Negara mana yang terkenal dengan bunga sakura dan gunung Fuji?,Japan
france.png,Negara mana yang memiliki Menara Eiffel?,France
italy.png,Negara mana yang berbentuk seperti sepatu bot dan memiliki Menara Pisa?,Italy
germany.png,Negara mana yang terkenal dengan Tembok Berlin?,Germany
india.png,Negara mana yang memiliki Taj Mahal?,India
bangladesh.png,Negara mana yang terkenal dengan sungai delta terbesar di dunia?,Bangladesh
nigeria.png,Negara mana yang merupakan negara terpadat di Afrika?,Nigeria
turkey.png,Negara mana yang memiliki kota Istanbul yang menghubungkan Eropa dan Asia?,Turkey
switzerland.png,Negara mana yang terkenal dengan cokelat dan jam tangan mewah?,Switzerland
brazil.png,Negara mana yang memiliki patung Christ the Redeemer dan hutan Amazon?,Brazil
ukraine.png,Negara mana yang terkenal dengan ladang bunga matahari luas?,Ukraine
russia.png,Negara mana yang memiliki Lapangan Merah (Red Square) dan Kremlin?,Russia
poland.png,Negara mana yang memiliki kota Krakow dan Auschwitz?,Poland
austria.png,Negara mana yang merupakan tanah kelahiran Mozart?,Austria
colombia.png,Negara mana yang terkenal dengan produksi kopi terbaiknya?,Colombia
netherlands.png,Negara mana yang terkenal dengan kincir angin dan tulip?,Netherlands
greece.png,Negara mana yang memiliki Parthenon dan Akropolis?,Greece
sweden.png,Negara mana yang terkenal dengan IKEA dan Nobel Prize?,Sweden
china.png,Negara mana yang memiliki Tembok Besar (Great Wall)?,China
vietnam.png,Negara mana yang terkenal dengan Teluk Ha Long?,Vietnam
thailand.png,Negara mana yang terkenal dengan Grand Palace dan Buddha emas?,Thailand
malaysia.png,Negara mana yang memiliki Menara Kembar Petronas?,Malaysia
singapore.png,Negara mana yang terkenal dengan Merlion?,Singapore
israel.png,Negara mana yang memiliki Tembok Ratapan (Western Wall)?,Israel
jordan.png,Negara mana yang memiliki kota kuno Petra?,Jordan
chile.png,Negara mana yang memiliki Gurun Atacama dan patung Moai di Easter Island?,Chile
belgium.png,Negara mana yang terkenal dengan cokelat dan waffle?,Belgium
denmark.png,Negara mana yang terkenal dengan patung The Little Mermaid?,Denmark
norway.png,Negara mana yang terkenal dengan fjord dan Aurora Borealis?,Norway
romania.png,Negara mana yang terkenal dengan legenda Dracula dan Kastil Bran?,Romania
australia.png,Negara mana yang memiliki Opera House Sydney dan kangaroo?,Australia
